id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51819853,Rental unit in Chicago · ★4.15 · 3 bedrooms · 5 beds · 1 bath,259092371,Shamika,,South Chicago,41.74569,-87.56003,Entire home/apt,250,32,13,2022-12-09,1.05,2,363,11,R22000082144
51173851,Home in Chicago · ★4.88 · 1 bedroom · 1 bed · 1 private bath,45312905,Alka,,Lincoln Park,41.92547,-87.65184,Private room,125,2,43,2023-01-04,2.03,1,16,18,
51839918,Rental unit in Chicago · ★4.69 · 2 bedrooms · 2 beds · 1 bath,395298252,Bailey,,Lower West Side,41.85782,-87.65097,Entire home/apt,111,1,96,2023-06-06,4.52,6,49,52,R21000070480
51857604,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near West Side,41.8763,-87.65371999999999,Entire home/apt,186,32,0,,,655,167,0,
51389282,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,11036600,Mari,,Lincoln Park,41.91474,-87.63988,Entire home/apt,129,33,0,,,9,107,0,
51176220,Rental unit in Chicago · ★4.67 · Studio · 1 bed · 1 bath,170551048,Lyn,,Uptown,41.95485,-87.65,Entire home/apt,120,32,36,2022-09-10,1.67,24,48,3,R21000063969
51418167,Home in Chicago · ★4.12 · 4 bedrooms · 6 beds · 3.5 baths,382067030,Chantal,,Washington Park,41.7952995300293,-87.62751770019531,Entire home/apt,375,2,17,2023-05-23,1.25,1,325,11,R22000080948
51177581,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,190702407,Jasmeka,,Near North Side,41.9018,-87.62859,Entire home/apt,365,2,0,,,1,0,0,R21000069212
51419238,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,135,32,0,,,655,308,0,
51865910,Rental unit in Chicago · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,291664107,Paul,,Lincoln Park,41.93152,-87.64774,Private room,88,1,57,2023-05-21,3.24,1,211,43,
51192129,Rental unit in Chicago · 2 bedrooms · 2 beds · 1 shared bath,145141302,John,,Logan Square,41.91848,-87.69763,Private room,46,1,0,,,1,0,0,
51419318,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,179,32,2,2023-05-20,0.10,655,256,1,
51192318,Condo in Chicago · ★4.96 · 2 bedrooms · 2 beds · 1 bath,143431215,Carolyn,,West Town,41.89081,-87.66279,Entire home/apt,133,1,83,2023-06-15,3.62,3,321,36,2476072
51425946,Rental unit in Chicago · ★3.80 · 1 bedroom · 1 bed · 2 shared baths,133022521,Yong,,Hyde Park,41.79553,-87.59206,Private room,500,1000,5,2021-09-11,0.22,2,15,0,
51196105,Rental unit in Chicago · ★4.84 · 2 bedrooms · 2 beds · 1 bath,14988400,Sharon,,West Town,41.8976,-87.67586,Entire home/apt,116,2,88,2023-06-14,3.93,4,28,47,R21000068872
51430700,Rental unit in Chicago · ★4.92 · 2 bedrooms · 2 beds · 1 bath,393542503,Candice,,Jefferson Park,41.98104,-87.77587,Entire home/apt,118,1,71,2023-06-10,3.23,1,336,43,R21000069684
51888425,Condo in Chicago · ★4.97 · 1 bedroom · 1 bed · 1 private bath,63311391,Hariharan,,Uptown,41.962902,-87.650795,Private room,76,1,64,2022-08-14,2.96,1,0,8,
51198174,Rental unit in Chicago · ★4.64 · 1 bedroom · 1 bed · 1 bath,247475779,Tommika,,Douglas,41.84113,-87.6172,Entire home/apt,139,2,14,2023-06-09,1.46,1,340,14,R22000086853
51889202,Rental unit in Chicago · ★4.20 · 1 bedroom · 1 bed · 1 bath,413418725,Hassan,,Grand Boulevard,41.81377,-87.61961,Entire home/apt,250,32,5,2022-09-18,0.24,1,364,1,R21000070329
51893472,Home in Oak Park · ★4.0 · 1 bedroom · 1 bed · 2 shared baths,22094147,Emma And Jim,,East Garfield Park,41.87807,-87.70327,Private room,528,1,6,2023-04-01,0.46,33,353,5,
51901966,Rental unit in Chicago · ★4.25 · 2 bedrooms · 2 beds · 1 bath,25561251,Chicago Home Stays,,Bridgeport,41.82675,-87.63847,Entire home/apt,82,32,4,2023-01-06,0.31,9,131,3,
51431792,Townhouse in Chicago · ★5.0 · 3 bedrooms · 5 beds · 2 baths,364844663,Pamela,,Douglas,41.84411,-87.62392,Entire home/apt,395,32,8,2023-04-06,0.37,1,315,4,R17000013710
51436430,Rental unit in Chicago · ★4.96 · 1 bedroom · 1 bed · 1 bath,227382424,Lanita,,Kenwood,41.81015,-87.60275,Entire home/apt,125,32,25,2022-06-05,1.15,1,365,0,R21000070398
51205312,Guest suite in Chicago · ★5.0 · Studio · 1 bed · 1 bath,348944587,Kerilyn,,Logan Square,41.92891,-87.70107,Entire home/apt,48,32,36,2022-04-03,1.56,2,307,0,R20000060227
51442670,Rental unit in Chicago · ★4.86 · 2 bedrooms · 2 beds · 2 baths,5228189,Matthew,,West Town,41.89586,-87.66762,Entire home/apt,159,2,50,2023-05-23,2.29,24,83,25,R22000088011
51909711,Condo in Chicago · ★4.86 · 1 bedroom · 1 bed · 1 bath,213346566,Shonetha,,Loop,41.87583,-87.62874,Entire home/apt,159,1,78,2023-06-13,3.59,1,47,49,R21000068870
51910355,Rental unit in Chicago · ★4.76 · 2 bedrooms · 3 beds · 1 bath,126179580,Staywell,,Near North Side,41.89943,-87.6196,Entire home/apt,402,2,84,2023-06-15,3.99,23,188,45,R21000070229
51209587,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near North Side,41.8925035,-87.61628259999999,Entire home/apt,185,32,0,,,655,262,0,
51911290,Home in Oak Park · ★4.14 · 1 bedroom · 1 bed · 2 shared baths,22094147,Emma And Jim,,East Garfield Park,41.87818,-87.70335,Private room,289,1,7,2023-05-13,0.55,33,291,5,
51448340,Rental unit in Chicago · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3666952,Lacey,,Lake View,41.9324,-87.67029,Entire home/apt,214,6,13,2023-06-05,0.85,1,30,12,R21000072865
51450597,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,77414650,Red Door,,Douglas,41.84303,-87.62206,Entire home/apt,240,32,1,2021-08-19,0.04,24,361,0,R19000046222
51211000,Rental unit in Chicago · ★4.94 · 1 bedroom · 2 beds · 1 bath,88566861,Kasa,,Near North Side,41.89638,-87.63553,Entire home/apt,304,2,47,2023-05-29,2.17,18,255,23,2791598
51450723,Rental unit in Chicago · ★4.90 · 1 bedroom · 1 bed · 1 bath,416705127,Ata,,Rogers Park,42.01395,-87.66263,Entire home/apt,115,32,10,2021-12-19,0.49,1,0,0,R21000072036
51911862,Rental unit in Chicago · ★4.44 · 1 bedroom · 1 bed · 2 shared baths,410504785,Ray,,Bridgeport,41.84314,-87.63888,Private room,39,2,41,2023-05-29,1.91,9,51,19,
51211015,Rental unit in Chicago · ★4.69 · 2 bedrooms · 4 beds · 2 baths,88566861,Kasa,,Near North Side,41.89597,-87.63368,Entire home/apt,385,2,70,2023-06-11,3.02,18,251,39,2791598
51916356,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,398153159,Tiara,,South Shore,41.75262,-87.55131,Entire home/apt,66,32,0,,,1,364,0,
51475924,Condo in Chicago · ★4.57 · 3 bedrooms · 3 beds · 1 bath,221473229,Kaylee & Ken,,Uptown,41.97197,-87.65801,Entire home/apt,349,3,46,2023-05-21,2.81,1,340,29,R22000080277
51211027,Rental unit in Chicago · ★4.80 · Studio · 1 bed · 1 bath,88566861,Kasa,,Near North Side,41.89574,-87.63506,Entire home/apt,244,2,117,2023-06-11,5.25,18,255,67,2791598
51925927,Townhouse in Chicago · ★4.88 · 3 bedrooms · 4 beds · 1.5 baths,137310905,Fabio,,Dunning,41.946508774388946,-87.79170926352734,Entire home/apt,244,3,57,2023-06-14,2.65,3,320,31,R21000064640
51211039,Rental unit in Chicago · ★4.76 · Studio · 1 bed · 1 bath,88566861,Kasa,,Near North Side,41.89794,-87.63404,Entire home/apt,245,2,116,2023-06-11,5.07,18,289,59,2791598
51476882,Rental unit in Chicago · 2 bedrooms · 2 beds · 1 bath,107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,162,32,1,2022-07-18,0.09,655,314,1,
51211288,Home in Chicago · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,9996343,Leticia,,Logan Square,41.91822,-87.71946,Private room,71,2,16,2023-03-20,0.85,1,6,13,
51476888,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,129,32,0,,,655,306,0,
51940418,Rental unit in Chicago · ★4.76 · 2 bedrooms · 2 beds · 1 bath,420690384,Hanzel And Reese,,Uptown,41.96401,-87.67242,Entire home/apt,104,1,76,2023-06-14,3.62,7,141,48,R23000098299
51212716,Guest suite in Chicago · 1 bedroom · 1 bed · 1 bath,88374012,Kim,,Morgan Park,41.69145,-87.67883,Entire home/apt,140,32,0,,,1,179,0,R21000069211
51961917,Rental unit in Chicago · ★4.96 · 2 bedrooms · 3 beds · 1 bath,18801829,Daniel,,Edgewater,41.98287,-87.6645,Entire home/apt,240,3,55,2023-06-12,3.99,1,116,47,R21000072842
51479557,Rental unit in Chicago · ★4.67 · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,Near West Side,41.8746756,-87.6745347,Entire home/apt,289,32,3,2022-06-25,0.14,655,286,1,
51212734,Rental unit in Chicago · ★4.67 · 2 bedrooms · 2 beds · 1 bath,43853826,Veronica,,South Shore,41.767980616216576,-87.58670804366425,Entire home/apt,151,2,3,2023-05-29,1.10,1,267,3,R23000096339
51492954,Rental unit in Chicago · ★4.86 · 1 bedroom · 1 bed · 1 bath,166918192,Brad & Sara,,Near West Side,41.88498,-87.64315,Entire home/apt,105,1,95,2023-06-09,4.26,9,173,43,R22000091965
51493537,Rental unit in Chicago · ★4.82 · 1 bedroom · 1 bed · 1 bath,166918192,Brad & Sara,,Near West Side,41.88495,-87.64288,Entire home/apt,114,1,101,2023-06-14,4.47,9,156,65,R22000092009
